"","zip","FDID","name","address","city","state","location","latitude","longitude","geometry"
"1","90003","","CA Office of Emergency Services North County Rescue","127 1/2 W 66TH ST","Los Angeles","CA","127 1/2 W 66TH ST Los Angeles, CA 90003",33.962714,-118.276,c(-118.276, 33.962714)
"2","90012","19105","Los Angeles Fire Department","200 N Main ST, Room 1800","Los Angeles","CA","200 N Main ST, Room 1800 Los Angeles, CA 90012",34.061611,-118.23944,c(-118.23944, 34.061611)
"3","90038","19260","Paramount Fire Department","5555 Melrose AVE BLDG 137","Los Angeles","CA","5555 Melrose AVE BLDG 137 Los Angeles, CA 90038",34.089459,-118.3285,c(-118.3285, 34.089459)
"4","90058","19205","City of Vernon Fire Department","4305 Santa Fe AVE","Vernon","CA","4305 Santa Fe AVE Vernon, CA 90058",34.000219,-118.22605,c(-118.22605, 34.000219)
"5","90063","19110","Los Angeles County Fire Department","1320 N Eastern AVE","Los Angeles","CA","1320 N Eastern AVE Los Angeles, CA 90063",34.045161,-118.1865,c(-118.1865, 34.045161)
"6","90095","19945","UCLA Fire","501 Westwood PLZ, 4TH FL","Los Angeles","CA","501 Westwood PLZ, 4TH FL Los Angeles, CA 90095",33.786594,-118.298662,c(-118.298662, 33.786594)
"7","90210","19025","Beverly Hills Fire Department","445 N Rexford DR","Beverly Hills","CA","445 N Rexford DR Beverly Hills, CA 90210",34.088808,-118.40612,c(-118.40612, 34.088808)
"8","90220","19040","Compton Fire Department","201 S Acacia AVE","Compton","CA","201 S Acacia AVE Compton, CA 90220",33.890566,-118.23666,c(-118.23666, 33.890566)
"9","90232","19050","Culver City Fire Department","9770 Culver BLVD","Culver City","CA","9770 Culver BLVD Culver City, CA 90232",34.021611,-118.39168,c(-118.39168, 34.021611)
"10","90241","19055","City of Downey Fire Department","11111 Brookshire AVE","Downey","CA","11111 Brookshire AVE Downey, CA 90241",33.942289,-118.12901,c(-118.12901, 33.942289)
"11","90245","19065","El Segundo Fire Department","314 Main ST","El Segundo","CA","314 Main ST El Segundo, CA 90245",33.921313,-118.40843,c(-118.40843, 33.921313)
"12","90254","19085","Hermosa Beach Fire Department","540 Pier AVE","Hermosa Beach","CA","540 Pier AVE Hermosa Beach, CA 90254",33.866314,-118.39968,c(-118.39968, 33.866314)
"13","90266","19120","Manhattan Beach Fire Department","400 15TH ST","Manhattan Beach","CA","400 15TH ST Manhattan Beach, CA 90266",33.88898,-118.40535,c(-118.40535, 33.88898)
"14","90277","19155","Redondo Beach Fire Department","401 S Broadway","Redondo Beach","CA","401 S Broadway Redondo Beach, CA 90277",33.828815,-118.38322,c(-118.38322, 33.828815)
"15","90401","19180","Santa Monica Fire Department","333 Olympic DR","Santa Monica","CA","333 Olympic DR Santa Monica, CA 90401",34.01491,-118.4922,c(-118.4922, 34.01491)
"16","90501","19200","Torrance Fire Department","1701 Crenshaw BLVD","Torrance","CA","1701 Crenshaw BLVD Torrance, CA 90501",33.828766,-118.31367,c(-118.31367, 33.828766)
"17","90631","30050","City of La Habra Fire Department","201 E La Habra  BLVD","La Habra","CA","201 E La Habra  BLVD La Habra, CA 90631",33.934513,-117.95159,c(-117.95159, 33.934513)
"18","90631","19225","La Habra Heights Fire Department","1245 N Hacienda RD","La Habra Heights","CA","1245 N Hacienda RD La Habra Heights, CA 90631",33.934513,-117.95159,c(-117.95159, 33.934513)
"19","90640","19130","Montebello Fire Department","600 N Montebello BLVD","Montebello","CA","600 N Montebello BLVD Montebello, CA 90640",34.014212,-118.11358,c(-118.11358, 34.014212)
"20","90670","19175","Santa Fe Springs Fire Department","11300 Greenstone AVE","Santa Fe Springs","CA","11300 Greenstone AVE Santa Fe Springs, CA 90670",33.933551,-118.06821,c(-118.06821, 33.933551)
"21","90704","19015","City of Avalon Fire Department","209 Metropole","Avalon","CA","209 Metropole Avalon, CA 90704",33.368642,-118.40835,c(-118.40835, 33.368642)
"22","90720","30835","Los Alamitos Joint Forces Training Base Fire Department","4250 Constitution AVE","Los Alamitos","CA","4250 Constitution AVE Los Alamitos, CA 90720",33.794028,-118.07218,c(-118.07218, 33.794028)
"23","90744","","Valero Wilmington Fire Department","2402 E Anaheim ST","Wilmington","CA","2402 E Anaheim ST Wilmington, CA 90744",33.784018,-118.25897,c(-118.25897, 33.784018)
"24","90807","19605","Boeing Fire Department, Long Beach Div","2401 E Wardlow RD","Long Beach","CA","2401 E Wardlow RD Long Beach, CA 90807",33.828366,-118.18235,c(-118.18235, 33.828366)
"25","90808","19100","Long Beach Fire Department","3205 N Lakewood BLVD","Long Beach","CA","3205 N Lakewood BLVD Long Beach, CA 90808",33.823316,-118.11329,c(-118.11329, 33.823316)
"26","91006","19010","Arcadia Fire Department","710 S Santa Anita AVE","Arcadia","CA","710 S Santa Anita AVE Arcadia, CA 91006",34.134057,-118.02662,c(-118.02662, 34.134057)
"27","91016","19125","Monrovia Fire Department","141 E Lemon AVE","Monrovia","CA","141 E Lemon AVE Monrovia, CA 91016",34.140806,-118.00184,c(-118.00184, 34.140806)
"28","91024","19185","Sierra Madre Fire Department","242 W Sierra Madre BLVD","Sierra Madre","CA","242 W Sierra Madre BLVD Sierra Madre, CA 91024",34.164806,-118.0509,c(-118.0509, 34.164806)
"29","91030","19195","South Pasadena Fire Department","817 Mound AVE","South Pasadena","CA","817 Mound AVE South Pasadena, CA 91030",34.112958,-118.15577,c(-118.15577, 34.112958)
"30","91101","19145","Pasadena Fire Department","199 S Los Robles AVE STE 550","Pasadena","CA","199 S Los Robles AVE STE 550 Pasadena, CA 91101",34.146607,-118.1391,c(-118.1391, 34.146607)
"31","91108","19170","San Marino Fire Department","2200 Huntington DR","San Marino","CA","2200 Huntington DR San Marino, CA 91108",34.122658,-118.11296,c(-118.11296, 34.122658)
"32","91204","19075","Glendale Fire Department","421 Oak ST","Glendale","CA","421 Oak ST Glendale, CA 91204",34.135259,-118.25948,c(-118.25948, 34.135259)
"33","91352","19096","La Tuna Canyon Fire & Rescue","10100 La Tuna Canyon RD","La Tuna Canyon","CA","10100 La Tuna Canyon RD La Tuna Canyon, CA 91352",34.224089,-118.37563,c(-118.37563, 34.224089)
"34","91502","19030","City of Burbank Fire Department","311 E Orange Grove AVE","Burbank","CA","311 E Orange Grove AVE Burbank, CA 91502",34.177606,-118.30954,c(-118.30954, 34.177606)
"35","91505","19992","Walt Disney Studios Fire Department","500 N Buena Vista ST","Burbank","CA","500 N Buena Vista ST Burbank, CA 91505",34.166906,-118.34366,c(-118.34366, 34.166906)
